都道府県名,市区町村名,市区町村名カナ
北海道,札幌市中央区,サッポロシチュウオウク
北海道,札幌市北区,サッポロシキタク
北海道,札幌市東区,サッポロシヒガシク
北海道,札幌市白石区,サッポロシシロイシク
北海道,札幌市豊平区,サッポロシトヨヒラク
北海道,札幌市南区,サッポロシミナミク
北海道,札幌市西区,サッポロシニシク
北海道,札幌市厚別区,サッポロシアツベツク
北海道,札幌市手稲区,サッポロシテイネク
北海道,札幌市清田区,サッポロシキヨタク
北海道,函館市,ハコダテシ
北海道,小樽市,オタルシ
北海道,旭川市,アサヒカワシ
北海道,室蘭市,ムロランシ
北海道,釧路市,クシロシ
北海道,帯広市,オビヒロシ
北海道,北見市,キタミシ
北海道,夕張市,ユウバリシ
北海道,岩見沢市,イワミザワシ
北海道,網走市,アバシリシ
北海道,留萌市,ルモイシ
北海道,苫小牧市,トマコマイシ
北海道,稚内市,ワッカナイシ
北海道,美唄市,ビバイシ
北海道,芦別市,アシベツシ
北海道,江別市,エベツシ
北海道,赤平市,アカビラシ
北海道,紋別市,モンベツシ
北海道,士別市,シベツシ
北海道,名寄市,ナヨロシ
北海道,三笠市,ミカサシ
北海道,根室市,ネムロシ
北海道,千歳市,チトセシ
北海道,滝川市,タキカワシ
北海道,砂川市,スナガワシ
北海道,歌志内市,ウタシナイシ
北海道,深川市,フカガワシ
北海道,富良野市,フラノシ
北海道,登別市,ノボリベツシ
北海道,恵庭市,エニワシ
北海道,伊達市,ダテシ
北海道,北広島市,キタヒロシマシ
北海道,石狩市,イシカリシ
北海道,北斗市,ホクトシ
北海道,石狩郡当別町,イシカリグントウベツチョウ
北海道,石狩郡新篠津村,イシカリグンシンシノツムラ
北海道,松前郡松前町,マツマエグンマツマエチョウ
北海道,松前郡福島町,マツマエグンフクシマチョウ
北海道,上磯郡知内町,カミイソグンシリウチチョウ
北海道,上磯郡木古内町,カミイソグンキコナイチョウ
北海道,亀田郡七飯町,カメダグンナナエチョウ
北海道,茅部郡鹿部町,カヤベグンシカベチョウ
北海道,茅部郡森町,カヤベグンモリマチ
北海道,二海郡八雲町,フタミグンヤクモチョウ
北海道,山越郡長万部町,ヤマコシグンオシャマンベチョウ
北海道,檜山郡江差町,ヒヤマグンエサシチョウ
北海道,檜山郡上ノ国町,ヒヤマグンカミノクニチョウ
北海道,檜山郡厚沢部町,ヒヤマグンアッサブチョウ
北海道,爾志郡乙部町,ニシグンオトベチョウ
北海道,奥尻郡奥尻町,オクシリグンオクシリチョウ
北海道,瀬棚郡今金町,セタナグンイマカネチョウ
北海道,久遠郡せたな町,クドウグンセタナチョウ
北海道,島牧郡島牧村,シママキグンシママキムラ
北海道,寿都郡寿都町,スッツグンスッツチョウ
北海道,寿都郡黒松内町,スッツグンクロマツナイチョウ
北海道,磯谷郡蘭越町,イソヤグンランコシチョウ
北海道,虻田郡ニセコ町,アブタグンニセコチョウ
北海道,虻田郡真狩村,アブタグンマッカリムラ
北海道,虻田郡留寿都村,アブタグンルスツムラ
北海道,虻田郡喜茂別町,アブタグンキモベツチョウ
北海道,虻田郡京極町,アブタグンキョウゴクチョウ
北海道,虻田郡倶知安町,アブタグンクッチャンチョウ
北海道,岩内郡共和町,イワナイグンキョウワチョウ
