ID,正式名称,正式名称（フリガナ）,所在地,所在地座標（緯度）,所在地座標（経度）,案内用ホームページアドレス
111010000010,札幌医科大学附属病院,サッポロイカダイガクフゾクビョウイン,北海道札幌市中央区南１条西１６丁目２９１番地,43.055405,141.333497,https://web.sapmed.ac.jp/hospital/
111010000020,市立札幌病院,シリツサッポロビョウイン,北海道札幌市中央区北１１条西１３丁目１番１号,0.0,0.0,http://www.city.sapporo.jp/hospital/
111010000030,ＪＡ北海道厚生連　札幌厚生病院,ジェイエイホッカイドウコウセイレンサッポロコウセイビョウイン,北海道札幌市中央区北３条東８丁目５番地,43.06752,141.369151,http://www.dou-kouseiren.com//byouin/sapporo
111010000050,ＪＲ札幌病院,ジェイアールサッポロビョウイン,北海道札幌市中央区北３条東１丁目１番地,0.0,0.0,https://hospital.jrhokkaido.co.jp
111010000060,ＮＴＴ東日本札幌病院,エヌティティヒガシニホンサッポロビョウイン,北海道札幌市中央区南１条西１５丁目２９０番地,43.056224,141.334582,https://www.nmcs.ntt-east.co.jp/index.html
111010000070,一般財団法人　札幌同交会病院,イッパンザイダンホウジン　サッポロドウコウカイビョウイン,北海道札幌市中央区南２条西１９丁目２９１番地,43.055743,141.328349,http://www.dohkohkai.or.jp
111010000080,医療法人　菊郷会　愛育病院,イリョウホウジン　キクゴウカイ　アイイクビョウイン,北海道札幌市中央区南４条西２５丁目２番１号,0.0,0.0,http://www.aiiku-hp.or.jp
111010000100,特定医療法人社団慶愛会札幌花園病院,トクテイイリョウホウジンシャダンケイアイカイサッポロハナゾノビョウイン,北海道札幌市中央区南１５条西１５丁目１番３０号,43.039217,141.335571,http://www.hanazono-hp.or.jp
111010000110,社会医療法人医仁会中村記念病院,シャカイイリョウホウジンイジンカイ　ナカムラキネンビョウイン,北海道札幌市中央区南１条西１４丁目２９１番地１９０,0.0,0.0,http://www.nmh.or.jp/
111010000120,医療法人社団慈藻会平松記念病院,イリョウホウジンシャダンジソウカイヒラマツキネンビョウイン,北海道札幌市中央区南２２条西１４丁目１番２０号,0.0,0.0,http://www.hiramatu-mhp.or.jp
