ID,正式名称,正式名称（フリガナ）,所在地,所在地座標（緯度）,所在地座標（経度）,案内用ホームページアドレス,月_就業時間帯1_開始時間,月_就業時間帯1_終了時間,火_就業時間帯1_開始時間,火_就業時間帯1_終了時間,水_就業時間帯1_開始時間,水_就業時間帯1_終了時間,木_就業時間帯1_開始時間,木_就業時間帯1_終了時間,金_就業時間帯1_開始時間,金_就業時間帯1_終了時間,土_就業時間帯1_開始時間,土_就業時間帯1_終了時間,日_就業時間帯1_開始時間,日_就業時間帯1_終了時間,祝_就業時間帯1_開始時間,祝_就業時間帯1_終了時間,月_就業時間帯2_開始時間,月_就業時間帯2_終了時間,火_就業時間帯2_開始時間,火_就業時間帯2_終了時間,水_就業時間帯2_開始時間,水_就業時間帯2_終了時間,木_就業時間帯2_開始時間,木_就業時間帯2_終了時間,金_就業時間帯2_開始時間,金_就業時間帯2_終了時間,土_就業時間帯2_開始時間,土_就業時間帯2_終了時間,日_就業時間帯2_開始時間,日_就業時間帯2_終了時間,祝_就業時間帯2_開始時間,祝_就業時間帯2_終了時間,月_就業時間帯3_開始時間,月_就業時間帯3_終了時間,火_就業時間帯3_開始時間,火_就業時間帯3_終了時間,水_就業時間帯3_開始時間,水_就業時間帯3_終了時間,木_就業時間帯3_開始時間,木_就業時間帯3_終了時間,金_就業時間帯3_開始時間,金_就業時間帯3_終了時間,土_就業時間帯3_開始時間,土_就業時間帯3_終了時間,日_就業時間帯3_開始時間,日_就業時間帯3_終了時間,祝_就業時間帯3_開始時間,祝_就業時間帯3_終了時間,月_外来受付時間帯1_開始時間,月_外来受付時間帯1_終了時間,火_外来受付時間帯1_開始時間,火_外来受付時間帯1_終了時間,水_外来受付時間帯1_開始時間,水_外来受付時間帯1_終了時間,木_外来受付時間帯1_開始時間,木_外来受付時間帯1_終了時間,金_外来受付時間帯1_開始時間,金_外来受付時間帯1_終了時間,土_外来受付時間帯1_開始時間,土_外来受付時間帯1_終了時間,日_外来受付時間帯1_開始時間,日_外来受付時間帯1_終了時間,祝_外来受付時間帯1_開始時間,祝_外来受付時間帯1_終了時間,月_外来受付時間帯2_開始時間,月_外来受付時間帯2_終了時間,火_外来受付時間帯2_開始時間,火_外来受付時間帯2_終了時間,水_外来受付時間帯2_開始時間,水_外来受付時間帯2_終了時間,木_外来受付時間帯2_開始時間,木_外来受付時間帯2_終了時間,金_外来受付時間帯2_開始時間,金_外来受付時間帯2_終了時間,土_外来受付時間帯2_開始時間,土_外来受付時間帯2_終了時間,日_外来受付時間帯2_開始時間,日_外来受付時間帯2_終了時間,祝_外来受付時間帯2_開始時間,祝_外来受付時間帯2_終了時間,月_外来受付時間帯3_開始時間,月_外来受付時間帯3_終了時間,火_外来受付時間帯3_開始時間,火_外来受付時間帯3_終了時間,水_外来受付時間帯3_開始時間,水_外来受付時間帯3_終了時間,木_外来受付時間帯3_開始時間,木_外来受付時間帯3_終了時間,金_外来受付時間帯3_開始時間,金_外来受付時間帯3_終了時間,土_外来受付時間帯3_開始時間,土_外来受付時間帯3_終了時間,日_外来受付時間帯3_開始時間,日_外来受付時間帯3_終了時間,祝_外来受付時間帯3_開始時間,祝_外来受付時間帯3_終了時間
144010000050,母乳育児相談室　さいとう,ボニュウイクジソウダンシツ　サイトウ,北海道札幌市東区北１０条東２丁目１－２０－４１２,0.0,0.0,,,,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144010000110,今井母乳育児相談室,イマイボニュウイクジソウダンシツ,北海道札幌市清田区平岡４条１丁目６－５,0.0,0.0,,10:00,15:00,10:00,15:00,,,10:00,15:00,10:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00,15:00,10:00,15:00,,,10:00,15:00,10:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144010000130,森田母乳育児相談室,モリタボニュウイクジソウダンシツ,北海道札幌市西区琴似１条６丁目４－１クレアホームズ琴似４０６,0.0,0.0,,,,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,09:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144010000150,医療法人アパンド　助産院マミーズ・ポート,イリョウホウジンアパンド　ジョサンインマミーズ・ポート,北海道札幌市北区北３１条西３丁目３－７,0.0,0.0,https://mammysport.com/,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,16:30,09:00,16:30,09:00,16:30,09:00,16:30,09:00,16:30,09:00,11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144010000160,にこにこ母乳相談所,ニコニコ　ボニュウ　ソウダンジョ,北海道伊達市梅本町９番地８,0.0,0.0,,09:00,12:00,09:00,12:00,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,12:00,09:00,12:00,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144010000220,助産院あゆる,ジョサンイン　アユル,北海道旭川市永山８条１５丁目１番２号,43.800155,142.432306,http://josanin-ayuru.com/,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,,,,,14:00,18:00,14:00,18:00,14:00,18:00,14:00,18:00,14:00,18:00,14:00,18:00,,,,,,,,,,,,,,,,,,,,,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,10:00,12:00,,,,,14:00,18:00,14:00,18:00,14:00,18:00,14:00,18:00,14:00,18:00,14:00,18:00,,,,,,,,,,,,,,,,,,,,
144010000230,おぎた助産院,オギタジョサンイン,北海道北見市緑ヶ丘２丁目４番２号,43.822928,143.874436,,08:30,11:30,,,08:30,11:30,,,08:30,11:30,08:30,11:30,08:30,11:30,,,14:00,17:00,,,14:00,17:00,,,14:00,17:00,14:00,17:00,14:00,17:00,,,,,,,,,,,,,,,,,,,08:30,11:30,,,08:30,11:30,,,08:30,11:30,08:30,11:30,08:30,11:30,,,14:00,17:00,,,14:00,17:00,,,14:00,17:00,14:00,17:00,14:00,17:00,,,,,,,,,,,,,,,,,,
144010000320,助産院マタニティアイ,ジョサンインマタニティアイ,北海道釧路郡釧路町曙１丁目１番１４号,0.0,0.0,http//ma-i946.com/,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00,17:00,09:00,17:00,,,09:00,12:00,09:00,17:00,09:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144010000350,母乳育児相談室るここ　小川助産所,ボニュウイクジソウダンシツルココ　　オガワジョサンジョ,北海道標津郡中標津町西町３丁目４５番地,0.0,0.0,http://lecoco-bonyu.com/,08:00,12:00,08:00,12:00,,,08:00,12:00,08:00,12:00,08:00,12:00,18:00,12:00,,,13:00,17:00,13:00,17:00,,,13:00,17:00,13:00,17:00,13:00,17:00,,,,,,,,,,,,,,,,,,,,,09:00,12:00,09:00,12:00,,,09:00,12:00,09:00,12:00,09:00,12:00,09:00,12:00,,,13:00,16:00,13:00,16:00,,,13:00,16:00,13:00,16:00,13:00,16:00,,,,,,,,,,,,,,,,,,,,
144010000360,母乳育児相談室ピア,ボニュウイクジソウダンシツピア,北海道網走郡美幌町東３条北２丁目１番地２Ｆ,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
