都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL
11011,170100143,北海道,札幌市中央区,慈啓会特別養護老人ホーム,ジケイカイトクベツヨウゴロウジンホーム,介護老人福祉施設,札幌市中央区旭ヶ丘５丁目６番５１号,,43.036631317130500,141.323592196851000,011-561-8291,170100143,,,70,http://www.sapporojikeikai.or.jp
11011,170100069,北海道,札幌市中央区,西円山敬樹園,ニシマルヤマケイジュエン,介護老人福祉施設,札幌市中央区円山西町4丁目3番20号,,43.042185500000000,141.303795900000000,011-631-1021,170100069,,,123,http://www.keijinkai.com/keijuen/
11011,170100531,北海道,札幌市中央区,介護老人福祉施設　たんぽぽの丘,カイゴロウジンフクシシセツタンポポノオカ,介護老人福祉施設,南8条西26丁目1-2,,43.045813800000000,141.320677000000000,011-531-5000,170100531,,,80,shinya@keiyu-kai.org
11011,170103329,北海道,札幌市中央区,慈啓会特別養護老人ホームユニット型,ジケイカイトクベツヨウゴロウジンホームユニットガタ,介護老人福祉施設,北海道札幌市中央区旭ヶ丘5丁目6番51号,,43.036956754880500,141.323307882695000,011-561-8291,170103329,,,80,http://www.sapporojikeikai.or.jp
11011,170103865,北海道,札幌市中央区,特別養護老人ホーム　ラスール苗穂,トクベツヨウゴロウジンホーム　ラスールナエボ,介護老人福祉施設,北海道札幌市中央区北２条東１９丁目１１－２特別養護老人ホームラスール苗穂,特別養護老人ホームラスール苗穂,43.069182000000000,141.386054500000000,011-206-7677,170103865,,,,http://koseikai-star.com/
11011,170104939,北海道,札幌市中央区,あすかHOUSE中央,アスカハウスチュウオウ,介護老人福祉施設,北海道札幌市中央区南3条西14丁目1-1,,43.054504600000000,141.335375600000000,011-209-8001,170104939,,,0,http://www.asuka-sw.jp/
11011,170105308,北海道,札幌市中央区,特別養護老人ホーム　ラスール苗穂リバーサイド,トクベツヨウゴロウジンホーム　ラスールナエボリバーサイド,介護老人福祉施設,北海道札幌市中央区北1条東19丁目6番地3,,43.068625005044800,141.386975814156000,011-206-7007,170105308,,,100,https://koseikai-star.com/facility/3009
11011,170105613,北海道,札幌市中央区,特別養護老人ホーム　ラスール苗穂　ウエストサイド,トクベツヨウゴロウジンホーム　ラスールナエボ　ウエストサイド,介護老人福祉施設,北海道札幌市中央区北１条東１９丁目6-3,,43.068637300000000,141.386960200000000,011-206-7154,170105613,,,100,http://koseikai-star.com/
11011,170104434,北海道,札幌市中央区,特別養護老人ホーム　札幌こもれびの家,トクベツヨウゴロウジンホーム　サッポロコモレビノイエ,介護老人福祉施設,北海道札幌市中央区南25条西11丁目1番40号特別養護老人ホーム　札幌こもれびの家,特別養護老人ホーム　札幌こもれびの家,43.025866200000000,141.344440500000000,011-520-0011,170104434,,,80,http://www.mizunokai.ed.jp/sapporo_komorebinoie/
11029,170208649,北海道,札幌市北区,特別養護老人ホームしのろ三清荘,トクベツヨウゴロウジンホームシノロサンセイソウ,介護老人福祉施設,北海道札幌市北区篠路5条8丁目2-8,,43.147690500000000,141.367672400000000,011-214-1241,170208649,,,80,http://www.keizankai.or.jp
