都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL
11011,150180040,北海道,札幌市中央区,老人保健施設　えん,ロウジンホケンシセツ　エン,介護老人保健施設,札幌市中央区宮の森１２３８番地１,,43.038713200000000,141.287467100000000,011-611-5522,150180040,,,0,http://www.miyanomori-hp.or.jp/
11011,150180032,北海道,札幌市中央区,慈啓会老人保健施設,ジケイカイロウジンホケンシセツ,介護老人保健施設,札幌市中央区旭ヶ丘5丁目6-48,,43.036242400000000,141.322525200000000,011-520-8085,150180032,,,0,http://www.sapporojikeikai.or.jp
11011,150180057,北海道,札幌市中央区,介護老人保健施設　フォーシーズン山鼻,カイゴロウジンホケンシセツ　フォーシーズンヤマハナ,介護老人保健施設,北海道札幌市中央区南１７条西９丁目１-１３,,43.037107198070300,141.346576274869000,011-561-1200,150180057,,,80,http://fourseason.or.jp/
11011,150180065,北海道,札幌市中央区,介護療養型老人保健施設宮の森,カイゴリョウヨウガタロウジンホケンシセツミヤノモリ,介護老人保健施設,北海道札幌市中央区宮の森1237番地1,,43.057035700000000,141.292137800000000,011-611-2211,150180065,,,0,http://www.miyanomori-hp.or.jp
11011,170103675,北海道,札幌市中央区,介護老人保健施設けあ・ばんけい,カイゴロウジンホケンシセツケア・バンケイ,介護老人保健施設,北海道札幌市中央区盤渓232番地7,,43.032649800000000,141.277201300000000,011-615-9623,170103675,,,0,http://www.carebankei.jp
11029,150280055,北海道,札幌市北区,介護老人保健施設　セージュ新ことに,カイゴロウジンホケンシセツ　セージュシンコトニ,介護老人保健施設,"札幌市北区新琴似町787番地2,3介護老人保健施設セージュ新ことに",介護老人保健施設セージュ新ことに,43.130885500000000,141.295524500000000,011-768-2800,150280055,,,100,http://www.seijyu-shin.jp/
11029,150280063,北海道,札幌市北区,介護老人保健施設札幌北翔館そとこと,カイゴロウジンホケンシセツサッポロホクショウカンソトコト,介護老人保健施設,札幌市北区屯田９条３丁目３番地２,,43.143107000000000,141.341194500000000,011-773-7200,150280063,,,0,http://hokushokai.or.jp/sotokoto/
11029,150280014,北海道,札幌市北区,介護老人保健施設　茨戸アカシアハイツ,カイゴロウジンホケンシセツ　バラトアカシアハイツ,介護老人保健施設,札幌市北区東茨戸２条３丁目２番５号,,43.163716200000000,141.358661500000000,011-773-6255,150280014,,,0,http://www.keiyu-kai.org
11029,150280097,北海道,札幌市北区,介護老人保健施設ら・ぱーす,カイゴロウジンホケンシセツラ・パース,介護老人保健施設,北海道札幌市北区篠路町上篠路6番286,,43.130332100000000,141.382314100000000,011-774-1131,150280097,,,80,http://www.teishinkai.jp/lapaz/
11029,150280113,北海道,札幌市北区,介護老人保健施設　プラットホーム,カイゴロウジンホケンシセツプラットホーム,介護老人保健施設,札幌市北区あいの里２条１丁目２０－１,,43.159531900000000,141.385192700000000,011-776-3037,150280113,,,80,http://www.aishinkan.jp/platform
11029,150280139,北海道,札幌市北区,介護老人保健施設　サンビオーズ新琴似,カイゴロウジンホケンシセツサンビオーズシンコトニ,介護老人保健施設,札幌市北区新琴似2条5丁目1-1,,43.106539300000000,141.320868200000000,011-763-9300,150280139,,,80,http://www.aoikai.jp/symbiose/
11037,150280048,北海道,札幌市東区,介護老人保健施設さっぽろ東ナーシング,カイゴロウジンホケンシセツサッポロヒガシナーシング,介護老人保健施設,札幌市東区丘珠町291番地3,3,43.116312500000000,141.397352500000000,011-785-8200,150280048,,,0,http://www.h-nashing.jp
11037,150280089,北海道,札幌市東区,医療法人徳洲会　介護老人保健施設徳洲苑なえぼ,イリョウホウジントクシュウカイ　カイゴロウジンホケンシセツトクシュウエンナエボ,介護老人保健施設,北海道札幌市東区北7条東18丁目2番30号,,43.075270000000000,141.381296000000000,011-753-0011,150280089,,,0,http://www.tokushukai.or.jp/hsp/r_naebo/index.html
11037,150280071,北海道,札幌市東区,社会医療法人豊生会　介護老人保健施設ひまわり,シャカイイリョウホウジンホウセイカイカイゴロウジンホケンシセツヒマワリ,介護老人保健施設,札幌市東区東苗穂4条1丁目1-68,,43.088553766634500,141.400883459261000,011-781-8800,150280071,,,0,https://www.houseikai.or.jp/himawari/
11037,150280022,北海道,札幌市東区,介護老人保健施設もえれパークサイド,カイゴロウジンホケンシセツモエレパークサイド,介護老人保健施設,札幌市東区中沼町１０５－４３,,43.128798200000000,141.421330200000000,011-791-2311,150280022,,,0,https://www.moereparkside.jp/
11037,150280121,北海道,札幌市東区,介護老人保健施設　あすかHOUSE東苗穂,カイゴロウジンホケンシセツ　アスカハウスヒガシナエボ,介護老人保健施設,北海道札幌市東区東苗穂６条３丁目１１番５５号,,43.089819232103400,141.413106749738000,011-789-0100,150280121,,,0,https://asuka-gp.or.jp/asukahouse/
11037,150280147,北海道,札幌市東区,介護老人保健施設おおぞら,カイゴロウジンホケンシセツオオゾラ,介護老人保健施設,丘珠町167番地10,,43.107614600000000,141.384794000000000,011-786-0020,150280147,,,0,https://sapporo-oozora.com/
11045,150380103,北海道,札幌市白石区,介護老人保健施設　生きがい,カイゴロウジンホケンシセツ　イキガイ,介護老人保健施設,札幌市白石区北郷2条11丁目3番20号,,43.050196500000000,141.432906100000000,011-871-2001,150380103,,,0,http://www.kokeikai.com
11045,150380137,北海道,札幌市白石区,勤医協老人保健施設柏ヶ丘,キンイキョウロウジンホケンシセツカシワガオカ,介護老人保健施設,札幌市白石区平和通7丁目南5-１勤医協老人保健施設　柏ヶ丘,勤医協老人保健施設　柏ヶ丘,43.047087700000000,141.417274400000000,011-865-0010,150380137,,,0,http://www.rouken-kashiwa.jp/
11045,150380129,北海道,札幌市白石区,介護老人保健施設ぼだい樹,カイゴロウジンホケンシセツボダイジュ,介護老人保健施設,北海道札幌市白石区川下577番地9,,43.067600600000000,141.443173500000000,011-873-2345,150380129,,,100,http://www.kyoueikai.or.jp/
11045,150380012,北海道,札幌市白石区,介護老人保健施設コミュニティホーム白石,カイゴロウジンホケンシセツコミュニティホームシロイシ,介護老人保健施設,札幌市白石区本郷通３丁目南１番３５号,,43.045988435506600,141.404186023943000,011-864-5321,150380012,,,0,http://www.keijinkai.com/c-shiroishi/
11053,150380020,北海道,札幌市豊平区,介護老人保健施設　アメニティ西岡,カイゴロウジンホケンシセツ　アメニティニシオカ,介護老人保健施設,札幌市豊平区西岡４条４丁目１番５号,,43.016380760368900,141.389218033835000,011-854-5510,150380020,,,0,http://www.keiwakai.jp/
11053,150580017,北海道,札幌市豊平区,北海道病院附属介護老人保健施設,ホッカイドウビョウインフゾクカイゴロウジンホケンシセツ,介護老人保健施設,札幌市豊平区中の島1条8丁目3番18号,,43.025749900000000,141.356083900000000,011-813-2222,150580017,,,0,https://hokkaido.jcho.go.jp/rouken/
11053,150580033,北海道,札幌市豊平区,介護老人保健施設　豊平北翔館　豊翔の郷,カイゴロウジンホケンシセツ　トヨヒラホクショウカン　ホウショウノサト,介護老人保健施設,札幌市豊平区旭町５丁目５－１,,43.044610254465200,141.366690537434000,011-837-7500,150580033,,,0,http://www.hokushokai.or.jp
11053,150580090,北海道,札幌市豊平区,介護老人保健施設ライフふくまつ,カイゴロウジンホケンシセツライフフクマツ,介護老人保健施設,北海道札幌市豊平区西岡４９７－１０,,42.989865000000000,141.369448500000000,０１１－５８３－５０００,150580090,,,85,http://www.keiwakai.jp/
11053,150580124,北海道,札幌市豊平区,介護老人保健施設　ノテ日本医療だ額リハビリ,カイゴロウジンホケンシセツ　ノテニホンイリョウダイガクリハビリ,介護老人保健施設,月寒東3条11丁目1-55,,43.029064430129600,141.414840492065000,011-350-6700,150580124,,,,https://www.note.or.jp
11053,150580066,北海道,札幌市豊平区,介護老人保健施設福住の丘,カイゴロウジンホケンシセツフクズミノオカ,介護老人保健施設,北海道札幌市豊平区月寒西1条11丁目3-10,,43.023304347462200,141.398442724290000,011-857-7800,150580066,,,80,http://www.siseikai.or.jp
11061,150180016,北海道,札幌市南区,介護老人保健施設　リラコート愛全,カイゴロウジンホケンシセツ　リラコートアイゼン,介護老人保健施設,札幌市南区川沿13条2丁目4-45,,42.978384800000000,141.333815800000000,011-571-7151,150180016,,,0,http://www.aizenkai.or.jp
