都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL
11011,01B0100011,北海道,札幌市中央区,札幌西円山病院介護医療院,サッポロニシマルヤマビョウイン　カイゴイリョウイン,介護医療院,北海道札幌市中央区円山西町4丁目7-25,,43.039961900000000,141.303213600000000,011-642-4121,01B0100011,,,,http://www.keijinkai.com/nishimaruyama/
11029,01B0200027,北海道,札幌市北区,長生会病院　介護医療院,チョウセイカイビョウイン　カイゴイリョウイン,介護医療院,北25条西16丁目2番1号,,43.091306000000000,141.324206700000000,011-726-4835,01B0200027,,,46,http://choseikai.com
11037,01B0200019,北海道,札幌市東区,医療法人社団　英仁会　札苗病院　介護医療院,イリョウホウジンシャダン　エイジンカイ　サツナエビョウイン　カイゴイリョウイン,介護医療院,北海道札幌市東区東苗穂7条2丁目8番20号,,43.094958490977500,141.412749200000000,011-783-3311,01B0200019,,,,http://www.satsunae-hp.jp/
11061,01B0500020,北海道,札幌市南区,介護医療院　フローレンス,カイゴイリョウイン　フローレンス,介護医療院,北海道札幌市南区川沿13条2丁目1-38,,42.979599100000000,141.333794500000000,011-571-5670,01B0500020,,,,http://www.aizenkai.or.jp/
11070,01B0400023,北海道,札幌市西区,勤医協札幌西区病院　介護医療院,キンイキョウサッポロニシクビョウイン　カイゴイリョウイン,介護医療院,北海道札幌市西区西町北１９丁目１−５勤医協札幌西区病院,勤医協札幌西区病院,43.086877500000000,141.276871400000000,011-663-5711,01B0400023,,,0,http://www.kin-ikyo-nishiku.jp/
11070,01B0400015,北海道,札幌市西区,平和リハビリテーション病院　介護医療院,ヘイワリハビリテーションビョウイン　カイゴイリョウイン,介護医療院,北海道札幌市西区平和306番地1,,43.056153990047900,141.242742909648000,011-662-1771,01B0400015,,,40,http://www.seiwa-kai.or.jp/heiwa-reha
11070,01B0400031,北海道,札幌市西区,介護医療院札幌太田病院,カイゴイリョウインサッポロオオタビョウイン,介護医療院,山の手５条５丁目１番１号,,43.070760600000000,141.292039800000000,011-644-5111,01B0400031,,,32,https://www.sapporo-ohta.or.jp/
11070,01B0400049,北海道,札幌市西区,介護医療院　博友会,カイゴイリョウイン　ハクユウカイ,介護医療院,西野2条7丁目1番1号,,43.080461000000000,141.276614400000000,011-661-1850,01B0400049,,,,https://tanakamedical.net
11100,01B0500012,北海道,札幌市清田区,介護医療院　しんえいの杜,カイゴイリョウイン　シンエイノモリ,介護医療院,北海道札幌市清田区真栄331番地真栄病院内2階,真栄病院内2階,42.978557600000000,141.444026300000000,011-886-7688,01B0500012,,,0,http://www.syoujinkai.or.jp/mori/
12025,01B1400014,北海道,函館市,介護医療院喜郷,カイゴイリョウインキキョウ,介護医療院,北海道函館市桔梗１丁目１４番１号,,41.831000500000000,140.728995300000000,0138-34-7707,01B1400014,,,,https://kojinkai1968.com/
12025,01B1400022,北海道,函館市,介護医療院　竹田病院,カイゴイリョウイン　タケダビョウイン,介護医療院,北海道函館市元町２９番２１号,,41.762840400000000,140.716203300000000,0138-26-5812,01B1400022,,,,https://www.takedahospital.or.jp
12025,01B1400048,北海道,函館市,医療法人聖仁会　森病院　介護医療院,イリョウホウジンセイジンカイ　モリビョウイン　カイゴイリョウイン,介護医療院,北海道函館市桔梗町５５７番地,,41.860333000000000,140.752863900000000,0138-47-2222,01B1400048,,,,http://www.seijinkai-mori.jp/seijinkai/mori/
