都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL
11011,190100271,北海道,札幌市中央区,社会福祉法人札幌市社会福祉協議会ナイトケアセンター,シャカイフクシホウジンサッポロシシャカイフクシキョウギカイナイトケアセンター,夜間対応型訪問介護,北海道札幌市中央区北１条西13丁目4FWD札幌ビル　1階,FWD札幌ビル　1階,43.060721256914000,141.336340062119000,011-208-3800,190100271,"平日,土曜日,日曜日,祝日",オペレーションサービスはサービス提供時間以外でも２４時間可能。（改行）ただし、２４時間通報対応加算算定の場合のみ20:00～8:00のサービス提供に加え、日中も対応可能。,0,http://www.sapporo-shakyo.or.jp/
11029,190100081,北海道,札幌市北区,あいコールセンター,アイコールセンター,夜間対応型訪問介護,札幌市北区新川5条4丁目1-10,,43.102701100000000,141.322443400000000,011-209-2288,190100081,"平日,土曜日,日曜日,祝日",,0,http://www.jncc24.jp
11070,190400333,北海道,札幌市西区,すこやか介護サービス夜間対応型訪問介護事業所,スコヤカカイゴサービスヤカンタイオウガタホウモンカイゴジギョウショ,夜間対応型訪問介護,北海道札幌市西区西野4条7丁目7番35号サービス付き高齢者向け住宅　すこやか苑西野,サービス付き高齢者向け住宅　すこやか苑西野,43.076419260175100,141.270498858197000,011-668-6000,190400333,"平日,土曜日,日曜日,祝日",,10,http://www.kaigo-sukoyaka.co.jp
12025,191400944,北海道,函館市,ＳＯＭＰＯケア函館昭和夜間訪問介護,ソンポケアハコダテショウワヤカンホウモンカイゴ,夜間対応型訪問介護,北海道函館市昭和4丁目30-35そんぽの家Ｓ函館昭和,そんぽの家Ｓ函館昭和,41.816685800000000,140.731966400000000,0138-44-0105,191400944,"平日,土曜日,日曜日,祝日",,0,https://www.sompocare.com
12025,191401041,北海道,函館市,夜間対応型訪問介護事業所　あい,ヤカンタイオウガタホウモンカイゴジギョウショアイ,夜間対応型訪問介護,北海道函館市日吉町2丁目12-22,,41.792345900000000,140.793396300000000,0138-85-6865,191401041,"平日,土曜日,日曜日,祝日",,0,
12041,192900314,北海道,旭川市,旭川中央ケアサポート安心コールセンター,アサヒカワチュウオウケアサポートアンシンコールセンター,夜間対応型訪問介護,旭川市東光15条3丁目6-10,,43.741343770148400,142.397177173480000,0166-37-7110,192900314,"平日,土曜日,日曜日,祝日",利用者の状況に応じて柔軟に対応し、２４時間３６５日連絡の取れる体制となっております。,0,http://www.chuuo-hire.com
12068,194100137,北海道,釧路市,釧路市社会福祉協議会夜間対応型訪問介護事業所,クシロシシャカイフクシキョウギカイヤカンタイオウガタホウモンカイゴジギョウショ,夜間対応型訪問介護,釧路市旭町１２番３号釧路市総合福祉センター内,釧路市総合福祉センター内,42.985273900000000,144.391060200000000,0154-24-1595,194100137,"平日,土曜日,日曜日,祝日",なし,0,http://www.kushiro-city-shakyo.or.jp
12343,191300201,北海道,北広島市,北広島ホームヘルプサービスステーション四恩園,キタヒロシマホームヘルプサービスステーションシオンエン,夜間対応型訪問介護,北海道北広島市緑陽町1丁目2番地,,34.507104100000000,133.368746200000000,011-373-7755,191300201,"平日,土曜日,日曜日,祝日",,,http://www.shionen.or.jp
13374,191513571,北海道,七飯町,夜間対応型訪問介護ステーションな菜,ヤカンタイオウガタホウモンステーションナナ,夜間対応型訪問介護,北海道亀田郡七飯町桜町665-3,,41.905590900000000,140.698079600000000,0138-83-7728,191513571,平日,,,
41050,495500548,宮城県,仙台市泉区,SOMPOケア　仙台泉　夜間訪問介護,ソンポケア　センダイイズミ　ヤカンホウモンカイゴ,夜間対応型訪問介護,宮城県仙台市泉区松森字鹿島53-9,,38.318191100000000,140.909337300000000,022-771-7362,495500548,"平日,土曜日,日曜日,祝日",22：00～翌7：00,,https://www.sompocare.com/
62065,691200067,山形県,寒河江市,夜間対応型訪問介護つつじ,ヤカンタイオウガタホウモンカイゴツツジ,夜間対応型訪問介護,山形県寒河江市大字寒河江字塩水6-1,,38.379472066310800,140.261482056206000,0237-85-1326,691200067,"平日,土曜日,日曜日,祝日",,0,http://www.npo-ajisai.jp/
64262,693000085,山形県,三川町,夜間対応型訪問介護ホームヘルパーステーションなの花荘,ヤカンタイオウガタホウモンカイゴホームヘルパーステーションナノハナソウ,夜間対応型訪問介護,山形県東田川郡三川町大字横山字城下228番地9,,38.776767176875400,139.851165944983000,0235-33-8896,693000085,"平日,土曜日,日曜日,祝日",,0,http://www.nanohanaso.or.jp
72010,790100309,福島県,福島市,社会福祉法人ライフ・タイム・福島　ロング・ライフ夜間対応型訪問介護事業所,シャカイフクシホウジンライフ・タイム・フクシマ　ロング・ライフヤカンタイオウガタホウモンカイゴジギョウショ,夜間対応型訪問介護,福島市松川町字産子内１番地の１,,37.667299700000000,140.478043400000000,024-567-5800,790100309,"平日,土曜日,日曜日,祝日",日中帯も、24時間通報対応の体制を整えているので、連絡を頂き、ケアマネジャーやご利用頂いている訪問介護事業所へ連絡することが可能です。,0,http://www.life-time-fukushima.jp/
92011,990100950,栃木県,宇都宮市,定期巡回型訪問介護看護ひだまり,テイキジュンカイガタホウモンカイゴカンゴヒダマリ,夜間対応型訪問介護,栃木県宇都宮市900‐1,,36.599336446498200,139.903409177368000,028‐616‐3460,990100950,"平日,土曜日,日曜日,祝日",(1)窓口受付日　月～金(相談受付日(土日祝日及び12/29～1/3除く))（改行）(2)窓口受付時間　8：30～17：30(相談受付時間(土日祝日及び12/29～1/3除く)),5,http：//www.toyosato-g.or.jp
102016,1090100858,群馬県,前橋市,夜間対応型訪問介護グランポルト前橋,ヤカンタイオウガタホウモンカイゴグランポルトマエバシ,夜間対応型訪問介護,群馬県前橋市昭和町3丁目11番18号,,36.405429200000000,139.062937400000000,027-212-6555,1090100858,"平日,土曜日,日曜日,祝日",上記以外の時間帯のご利用については、予め事業所へご相談ください。,,https://hotakakai.or.jp
112038,1190201028,埼玉県,川口市,エイプレイス川口,エイプレイスカワグチ,夜間対応型訪問介護,埼玉県川口市幸町2‐15‐8第Ⅱ福富ビル,第Ⅱ福富ビル,35.806538600000000,139.720080200000000,048-240-1355,1190201028,"平日,土曜日,日曜日,祝日",定期巡回・随時対応型訪問介護看護と兼務。加算要件によって24時間体制でオペレーターによる電話相談、随時訪問が可能です。,,https://www.a-place.co.jp
