都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL
11011,190100370,北海道,札幌市中央区,定期巡回モルス24,テイキジュンカイモルスニジュウヨン,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区北11条西14丁目1番72号ふれあいの森　市立病院前,ふれあいの森　市立病院前,43.072415360518700,141.333324792031000,011-738-9918,190100370,,,0,https://www.morus.co.jp/
11011,190100834,北海道,札幌市中央区,グリーンプラザ定期巡回訪問介護看護ステーション,グリーンプラザテイキジュンカイホウモンカイゴカンゴステーション,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南6条西8丁目5番ファミリードクターズホーム6.8　5Ｆ,ファミリードクターズホーム6.8　5Ｆ,43.052647600000000,141.346741100000000,011-513-5500,190100834,,,,
11011,190100248,北海道,札幌市中央区,マザアス札幌２４時間訪問介護看護事業所,マザアスサッポロニジュウヨジカンホウモンカイゴカンゴジギョウショ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区北３条東１丁目１番地１ブランジェイアール札幌,ブランジェイアール札幌,43.065962100000000,141.356398200000000,011-210-0330,190100248,,,0,http://www.motherth.com/sapporo/
11011,190100396,北海道,札幌市中央区,定期巡回随時対応訪問介護看護　フルハウス伏見,テイキジュンカイズイジタイオウホウモンカイゴカンゴ　フルハウスフシミ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南20条西16丁目2－1,,43.029429600000000,141.337413100000000,011-533-2002,190100396,,,0,
11011,190100503,北海道,札幌市中央区,やまはな訪問介護看護事業所２４,ヤマハナホウモンカイゴカンゴジギョウショ２４,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南１９条西１１丁目１-１５ヴェラス・クオーレ南１９条ー２Ｆ,ヴェラス・クオーレ南１９条ー２Ｆ,43.034320397222700,141.344155182648000,011-530-6808,190100503,,,0,
11011,190100537,北海道,札幌市中央区,ノア地域巡回センター旭ヶ丘,ノアチイキジュンカイセンターアサヒガオカ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南１２条西２２丁目１－４０ノアガーデン旭ヶ丘　アーバンクラス内,ノアガーデン旭ヶ丘　アーバンクラス内,43.042222300000000,141.325588400000000,011-520-2500,190100537,,,0,http://www.noah-konzer.com
11011,190100636,北海道,札幌市中央区,朝日ケアステーション山鼻,アサヒケアステーションヤマハナ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南18条西12丁目4-12朝日ケアホーム山鼻,朝日ケアホーム山鼻,43.034837600000000,141.342434600000000,011-213-1505,190100636,,,0,https://www.asahi-care-home.com/
11011,190100651,北海道,札幌市中央区,定期巡回ケアステーションピリカ,テイキジュンカイケアステーションピリカ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南19条西12丁目2-22ロータス山鼻邸,ロータス山鼻邸,43.033615500000000,141.342279100000000,011-585-5112,190100651,,,0,https://lotus-sapporo.com/
11011,190100933,北海道,札幌市中央区,ノア地域巡回センター啓明,ノアチイキジュンカイセンターケイメイ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南13条西23丁目1-20ノアガーデンエレンクラッセ,ノアガーデンエレンクラッセ,43.039484600000000,141.325348500000000,011-562-1001,190100933,,,0,https://www.noah-konzer.com/
11011,190101170,北海道,札幌市中央区,SOMPOケア　札幌桑園駅前　定期巡回,ソンポケア　サッポロソウエンエキマエ　テイキジュンカイ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区北11条西14丁目1-17,,43.071859900000000,141.332185800000000,011-788-7739,190101170,,,,https://www.sompocare.com
11011,190101196,北海道,札幌市中央区,ＳＯＭＰＯケア旭ヶ丘　定期巡回,ソンポケアアサヒガオカテイキジュンカイ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南14条西18丁目6-22ラヴィーレレジデンス旭ヶ丘,ラヴィーレレジデンス旭ヶ丘,43.040012600000000,141.328674400000000,011-206-9577,190101196,,,,https://www.sompocare.com
11011,190100974,北海道,札幌市中央区,ブルー・ケア株式会社,ブルー・ケアカブシキガイシャ,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区北11条西24丁目1番20号ブルースター北円山,ブルースター北円山,43.070475300000000,141.318481900000000,011-215-8890,190100974,,,45,kitamaruinfo@blue-care.net
11011,190100511,北海道,札幌市中央区,やまはな24,ヤマハナニジュウヨン,定期巡回・随時対応型訪問介護看護,北海道札幌市中央区南16条西19丁目1番32シティホーム山鼻,シティホーム山鼻,43.036803000000000,141.330256900000000,011-522-8177,190100511,,,0,
11029,190200576,北海道,札幌市北区,さっぽろ訪問介護看護事業所24,サッポロホウモンカイゴカンゴジギョウショニジュウヨン,定期巡回・随時対応型訪問介護看護,北海道札幌市北区屯田8条9丁目3-7,,43.141934500000000,141.323970600000000,011-775-2778,190200576,,,0,
11029,190201137,北海道,札幌市北区,定期巡回・随時対応型訪問介護看護事業所ぽらりす屯田,テイキジュンカイズイジタイオウガタホウモンカイゴカンゴジギョウショポラリストンデン,定期巡回・随時対応型訪問介護看護,北海道札幌市北区屯田7条10丁目2番10号ぽらりす屯田,ぽらりす屯田,43.138073700000000,141.320071100000000,011-788-3216,190201137,,,0,http://takuhou.jp/
11029,190201731,北海道,札幌市北区,定期巡回・随時対応型訪問介護看護　れもん,テイキジュンカイ・ズイジタイオウガタホウモンカイゴカンゴ　レモン,定期巡回・随時対応型訪問介護看護,北海道札幌市北区篠路１条７丁目3-20,,43.140274800000000,141.363809600000000,011-773-5588,190201731,,,0,
11029,190201822,北海道,札幌市北区,勤医協訪問介護看護２４時間のぞみ,キンイキョウホウモンカイゴカンゴ２４ジカンノゾミ,定期巡回・随時対応型訪問介護看護,北海道札幌市北区北32条西8丁目1番1号,,43.098244600000000,141.335790700000000,011-299-1602,190201822,,,0,https://kin-fukushikai.jp/
11029,190202085,北海道,札幌市北区,勤医協訪問介護看護24時間ひかり,キンイキョウホウモンカイゴカンゴ24ジカン　ヒカリ,定期巡回・随時対応型訪問介護看護,北海道札幌市北区篠路6条1丁目1番1号,,43.150693300000000,141.351619600000000,117752899,190202085,,,,https://kin-fukushikai.jp/
11029,190202044,北海道,札幌市北区,メディケア花水木,メディケアハナミズキ,定期巡回・随時対応型訪問介護看護,北海道札幌市北区新川7条16丁目709-6はなみずき新川,はなみずき新川,43.119168000000000,141.300623000000000,011-790-7246,190202044,,,,https://atlsakura-kaigofukushi.com/facility/nursingcare-hanamizuki/
11029,190201707,北海道,札幌市北区,定期巡回センター花時計,テイキジュンカイセンターハナドケイ,定期巡回・随時対応型訪問介護看護,北海道札幌市北区北２３条西３丁目１－５楽明館２３,楽明館２３,43.089004860103400,141.345916713492000,011-776-7500,190201707,,,29,http://rakumeikan.co.jp/
